SequentialCutOff,Length,Size,Time
100,800000,15,562.107997
200,800000,15,629.334781
400,800000,15,538.259818
800,800000,15,540.124546
1600,800000,15,544.376051
3200,800000,15,739.254836
6400,800000,15,563.07885
12800,800000,15,548.982587
25600,800000,15,675.6684
51200,800000,15,604.991145
102400,800000,15,684.484921
204800,800000,15,489.845932
409600,800000,15,695.120916
819200,800000,15,1188.619793
50,900000,15,562.844651
100,900000,15,590.331313
200,900000,15,606.668328
400,900000,15,617.039333
800,900000,15,592.571598
1600,900000,15,593.843832
3200,900000,15,601.395583
6400,900000,15,762.25626
12800,900000,15,907.217995
25600,900000,15,581.756922
51200,900000,15,593.897949
102400,900000,15,841.381009
204800,900000,15,697.816071
409600,900000,15,573.146608
819200,900000,15,796.358345
50,1000000,15,654.251319
100,1000000,15,677.462215
200,1000000,15,636.47132
400,1000000,15,655.107871
800,1000000,15,665.38697
1600,1000000,15,651.998437
3200,1000000,15,663.342627
6400,1000000,15,635.073124
12800,1000000,15,651.948051
25600,1000000,15,659.315523
51200,1000000,15,638.215216
102400,1000000,15,637.747751
204800,1000000,15,736.19532
409600,1000000,15,652.109005
819200,1000000,15,882.906083
50,100000,17,70.44259
100,100000,17,70.148208
200,100000,17,67.451654
400,100000,17,72.002673
800,100000,17,72.066588
1600,100000,17,73.288434
3200,100000,17,69.983522
6400,100000,17,76.658661
12800,100000,17,82.926984
25600,100000,17,78.482334
51200,100000,17,101.05315
102400,100000,17,163.732647
204800,100000,17,164.486563
409600,100000,17,160.2024
819200,100000,17,165.485874
50,200000,17,144.675285
100,200000,17,139.631141
200,200000,17,142.651469
400,200000,17,140.009032
800,200000,17,150.864763
1600,200000,17,144.359442
3200,200000,17,148.904863
6400,200000,17,147.51693
12800,200000,17,158.511689
25600,200000,17,148.943118
51200,200000,17,151.318699
102400,200000,17,213.05627
204800,200000,17,328.081583
409600,200000,17,323.350016
819200,200000,17,331.247003
50,300000,17,221.032566
100,300000,17,222.256279
200,300000,17,214.19554
400,300000,17,231.434361
800,300000,17,215.17899
1600,300000,17,226.471861
3200,300000,17,228.807787
6400,300000,17,224.591738
12800,300000,17,220.324837
